I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
6760,,2005,7,18,2,4, 59.8,10, 5.3, 5.3, 5.2, 5.7,,,,,INDONESIA,,INDONESIA:  TIMOR:  TIMOR TENGAH UTARA,-  9.948,  124.480,60,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
6762,,2005,7,24,15,42,  6.2,16, 7.2, 7.2, 7.5, 6.6,,,,,INDIA,,"INDIA:  ANDAMAN ISLANDS,  NICOBAR ISLANDS",   7.920,   92.190,60,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
6771,,2005,8,14,6,33, 32.5,35, 4.4,,, 4.4,,,,7,INDIA,,INDIA:  MAHARASHTRA,  17.398,   74.118,60,,,,,,,,2,,,,,,,,,,,,2,,,,
6773,,2005,8,16,3,45, 54.1,43, 4.4,,, 4.4,,,,6,INDIA,,INDIA:  UTTARANCHAL:  UTTARKAHI,  30.924,   78.560,60,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
6774,,2005,8,30,8,53, 17.4,10, 4.7,,, 4.7,,,,6,INDIA,,"INDIA: MAHARASHTRA: AMBEGHAR, DICHOLI, KISRULE",  17.067,   73.773,60,,,,,,,,1,,,,,,,,,,,,1,,,,
6778,,2005,10,8,3,50, 40.8,26, 7.6, 7.6, 7.7, 6.9,,,,8,PAKISTAN,,"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",  34.539,   73.588,60,   76213,4,,,    146599,4,    6680.000,4,,3,,3,   76213,4,,,146599,4,    6680.000,4,,3,,
7252,,2005,12,14,7,9, 54.1,44, 5.3,,, 5.3,,,,,INDIA,,"INDIA:  JAUSARI, CHAMOLI, NANDPRAYAG",  30.476,   79.255,60,       1,1,,,         4,1,,2,1,1,1,1,       1,1,,,4,1,,2,1,1,,
7223,,2006,2,14,0,55, 25.0,30, 5.3, 5.3, 4.8, 5.4,,,,,INDIA,,INDIA:  SIKKIM,  27.382,   88.388,60,       2,1,,,         2,1,,1,,,,,       2,1,,,2,1,,1,,,,
7226,,2006,2,23,20,4, 53.5,10, 5.8, 5.8, 5.3, 5.5,,,,,BHUTAN,,BHUTAN:  TASHIGANG,  26.912,   91.705,60,,,,,,,,1,126,3,126,3,,,,,,,,1,126,3,,
7228,,2006,3,7,18,20, 46.1,10, 5.5, 5.5, 5.1, 5.2,,,,,INDIA,,INDIA:  GUJARAT,  23.777,   70.899,60,,,,,         7,1,,1,,1,,1,,,,,7,1,,1,,1,,
7229,,2006,3,10,7,50, 14.3,10, 4.9,,, 4.9,,,,,PAKISTAN,,PAKISTAN:  MIRPUR DISTRICT,  33.129,   73.887,60,       1,1,,,        22,1,,,,,,,       1,1,,,22,1,,,,,,
7233,,2006,3,28,8,35, 43.3,30, 5.0,,, 5.0,,,,,INDONESIA,,INDONESIA:  N. SUMATRA: TAPAKTUAN,   3.462,   97.224,60,,,,,,,,1,,,,,,,,,,,,1,,,,
7237,,2006,4,4,9,12, 23.4,10, 4.8,,, 4.8,,,,,PAKISTAN,,PAKISTAN:  BATGRAM,  34.600,   73.136,60,,,,,        28,1,,1,,2,,2,,,,,28,1,,1,,2,,
7238,,2006,4,6,17,59, 16.4,10, 5.5, 5.5, 5.2, 5.5,,,,,INDIA,,INDIA:  GUJARAT,  23.322,   70.477,60,,,,,,,,1,,,,,,,,,,,,1,,,,
7244,,2006,5,12,8,16, 56.5,17, 5.5, 5.5, 4.9, 5.4,,,,,INDONESIA,,INDONESIA:  SUMATRA:  KALIANDAK,-  5.575,  105.395,60,,,,,,,,1,,2,,2,,,,,,,,1,,2,,
7245,,2006,5,26,22,53, 58.9,13, 6.3, 6.3, 6.2, 6.0,,,,,INDONESIA,,"INDONESIA:   JAVA:  BANTUL, YOGYAKARTA",-  7.961,  110.446,60,    5749,4,,,     38568,4,    3100.000,4,127000,4,127000,4,    5749,4,,,38568,4,    3100.000,4,127000,4,,
7181,Tsu,2006,7,17,8,19, 25.0,34, 7.7, 7.7, 7.2, 6.1,,,,,INDONESIA,,INDONESIA:  JAVA,-  9.254,  107.411,60,,,,,,,,,,,,,     802,3,,,498,3,      55.000,4,1623,4,,
7420,,2006,12,1,14,1, 47.5,43, 6.3, 6.3, 6.0, 5.9,,,,,INDONESIA,,INDONESIA:  SUMABAWA:  BIMA,-  8.251,  118.777,60,       1,1,,,        14,1,,1,20,1,,,       1,1,,,14,1,,1,20,1,,
7441,,2006,12,12,17,2, 29.7,10, 4.6,,, 4.6,,,,,THAILAND,,THAILAND:  MAE RIM,  18.901,   98.916,60,,,,,,,,1,5,1,,,,,,,,,,1,5,1,,
7444,,2006,12,17,21,39, 17.4,30, 5.8, 5.8, 5.8, 5.5,,,,,INDONESIA,,"INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",    .626,   99.859,60,       7,1,,,       100,2,,3,680,3,,,       7,1,,,100,2,,3,680,2,,
7449,,2006,12,24,22,43, 26.7,10, 4.2,,, 4.2,,,,,INDIA,,INDIA:  RAJASTHAN,  26.880,   76.150,60,,,,,,,,,,,,,,,,,,,,1,,,,
7481,,2007,3,6,3,49, 38.9,19, 6.4, 6.4, 6.4, 5.9,,,,8,INDONESIA,,INDONESIA:  SUMATRA:  SOUTHERN,-   .493,  100.498,60,      67,2,,,       826,3,,3,43719,4,,4,      67,2,,,826,3,,3,43719,4,,4
7523,,2007,5,16,8,56, 16.4,24, 6.3, 6.3, 6.4, 5.7,,,,,LAOS,,"LAOS:  BOKEO;  THAILAND:  CHIANG RAI, CHIAN SAEN",  20.504,  100.746,60,,,,,,,,1,,,,,,,,,,,,1,,,,
7598,,2007,7,22,23,2, 14.7,19, 4.3,, 4.3, 5.1,,,,,INDIA,,"INDIA:  UTTARKASHI, CHAMOLI, MUZAFFARNAGAR",  30.881,   78.239,60,,,,,         3,1,,1,,1,,1,,,,,3,1,,1,,1,,
7533,,2007,8,8,17,4, 58.0,289, 7.5, 7.5,,,,,,,INDONESIA,,INDONESIA:  JAVA,-  5.968,  107.655,60,,,,,,,,,,,,,,,,,,,,,,,,
7615,,2007,8,20,19,15, 53.5,5, 4.4,,, 4.4,4,,,,INDIA,,INDIA:  MAHARASHTRA:  SATARA,  17.200,   73.700,60,,,,,,,,1,,,,,,,,,,,,1,,,,
7617,,2007,9,9,18,36, 37.6,35, 4.8,,, 4.8,,,,,INDONESIA,,INDONESIA:  SITUBONDO,-  7.783,  114.338,60,,,,,        13,1,,1,,,,,,,,,13,1,,1,,,,
7574,Tsu,2007,9,12,11,10, 26.8,34, 8.4, 8.4, 8.5, 6.9,,,,,INDONESIA,,INDONESIA:  SUMATRA,-  4.438,  101.367,60,      25,1,,,       161,3,,3,56425,4,,4,      25,1,,,161,3,,3,56425,4,,4
7575,,2007,9,12,23,49,  3.7,35, 7.9, 7.9, 8.1, 6.6,,,,,INDONESIA,,INDONESIA:  SUMATRA,-  2.625,  100.841,60,,,,,,,,,,,,,,,,,,,,,,,,
7697,,2007,10,26,6,50,  6.6,10, 4.8,, 4.8, 5.3,,,,,PAKISTAN,,PAKISTAN:  GHANCHE,  35.304,   76.753,60,       1,1,,,        12,1,,,,,,,       1,1,,,12,1,,,,,,
7699,,2007,11,6,9,38,  5.7,10, 5.1, 5.1,, 5.0,,,,,INDIA,,INDIA:  GUJARAT,  21.181,   70.724,60,       1,1,,,         5,1,,1,,2,,2,       1,1,,,5,1,,1,,2,,
7701,,2007,11,7,7,10, 21.9,29, 5.1,, 5.1, 5.1,,,,,BANGLADESH,,"BANGLADESH:  CHITTAGONG, BANDARBAN, RANGAMATI",  22.150,   92.388,60,,,,,        10,1,,1,,,,,,,,,10,1,,1,,,,
7674,,2007,11,25,16,2, 17.9,35, 6.5, 6.5,, 6.2,6.3,,,,INDONESIA,,INDONESIA:  SUMBAWA ISLAND,-  8.277,  118.339,60,       3,1,,,,3,,2,,3,,,       3,1,,,,3,,2,,3,,
7704,,2007,11,25,23,12, 17.0,10, 4.7,,, 4.7,,,,,INDIA,,"INDIA:  BADAUN, MEERUT, NOIDA, REWARI",  28.555,   77.057,60,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
7749,,2008,1,12,22,44, 47.3,34, 5.0,,, 5.0,,,,,BANGLADESH,,"INDIA-BANGLADESH:  RANGAMATI, BANGLADESH",  22.761,   92.333,60,,,,,,,,1,,,,2,,,,,,,,1,,,,2
7750,,2008,1,22,17,14, 57.9,20, 6.1, 6.1,, 5.9,,,,,INDONESIA,,INDONESIA:  SUMATRA:  NIAS ISLAND:  GUNUNGSITOLI,   1.011,   97.442,60,       1,1,,,         5,1,,1,,,,,       1,1,,,5,1,,1,,,,2
7765,,2008,2,6,6,9, 40.4,10, 4.3,,, 4.3,,,,,INDIA,,INDIA:  WEST BENGAL,  23.433,   87.111,60,       1,1,,,        50,1,,2,,,,,       1,1,,,50,1,,2,,,,3
7870,,2008,2,20,8,8, 30.5,26, 7.4, 7.4, 7.5, 6.5,,,,,INDONESIA,,INDONESIA:  SUMATERA:  ACEH PROVINCE,   2.768,   95.964,60,       3,1,,,        25,1,,,,,,,       3,1,,,25,1,,,,,,
7743,Tsu,2008,2,25,8,36, 33.0,25, 6.5, 6.5, 6.6, 6.4,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-  2.486,   99.972,60,,,,,,,,1,,,,2,,,,,,,,1,,,,2
7874,,2008,3,9,11,10, 41.0,10, 4.5,,, 4.5,,,,,INDIA,,INDIA:  GUJARAT,  23.330,   70.592,60,,,,,,,,1,,,,,,,,,,,,1,,,,1
8126,,2008,6,6,21,16, 33.8,11, 3.8,,, 3.8,,,,,INDIA,,INDIA:  MANPUR,  24.702,   84.964,60,,,,,         2,1,,1,,,,,,,,,2,1,,1,,,,
8185,,2008,9,9,3,7, 27.5,25, 5.4,,, 5.4,,,,,INDONESIA,,INDONESIA:  SUMATRA:  SOUTHERN,-  3.935,  103.058,60,       2,1,,,,,,2,,,,,       2,1,,,,,,2,,,113,3
8186,,2008,9,16,21,47, 14.5,10, 5.0,,, 5.0,,,,,INDIA,,INDIA:  MAHARASHTRA,  17.438,   73.915,60,       1,1,,,        20,1,,3,,,,,       1,1,,,20,1,,3,,,1500,4
8177,,2008,10,28,23,9, 57.6,15, 6.4, 6.4, 6.6, 6.3,,,,,PAKISTAN,,PAKISTAN:  QUETTA,  30.639,   67.351,60,     166,3,,,       370,3,,4,3487,4,3487,4,     166,3,,,370,3,,4,3487,4,4125,4
8206,,2008,10,29,11,32, 43.1,14, 6.4, 6.4, 6.6, 6.2,,,,,PAKISTAN,,PAKISTAN:  ZIARAT,  30.598,   67.455,60,,,,,         1,1,,2,,2,,2,,,,,1,1,,2,,2,,
8256,,2008,12,25,20,20, 51.5,35, 4.7,,, 4.7,,,,,MYANMAR (BURMA),,MYANMAR (BURMA),  23.970,   97.569,60,,,,,        19,1,,3,30,1,30,1,,,,,19,1,,3,30,1,5400,4
8278,,2009,2,20,3,48, 48.2,10, 5.4, 5.4,, 5.5,,,,,PAKISTAN,,PAKISTAN; INDIA:  KASHMIR,  34.204,   73.899,60,,,,,        44,1,,1,,,,,,,,,44,1,,1,,,,2
8298,,2009,3,26,4,44, 11.6,10, 4.1,,, 4.1,,,,,INDIA,,INDIA:  CHAIBASA,  22.399,   85.903,60,,,,,         5,1,,1,,,,,,,,,5,1,,1,,,,1
8317,,2009,4,9,1,46, 58.2,44, 5.2,,, 5.2,,,,,INDIA,,INDIA:  JAISALMER,  27.143,   70.749,60,,,,,         6,1,,2,,,,,,,,,6,1,,2,,,,2
8381,,2009,5,19,19,29, 48.9,21, 4.9,,, 4.9,,,,,INDIA,,INDIA:  KASHMIR,  33.198,   75.787,60,,,,,,,,1,,,,,,,,,,,,1,,,100,2
8378,Tsu,2009,8,10,19,55, 35.6,5, 7.5, 7.5, 7.6, 6.9,,,,,INDIA,,INDIA:  ANDAMAN I,  14.099,   92.888,60,,,,,,,,,,,,,,,,,,,,,,,,
8472,Tsu,2009,8,16,7,38, 21.7,20, 6.7, 6.7, 6.7, 6.5,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-  1.479,   99.490,60,,,,,         9,1,,,,,,,,,,,9,1,,,,,,
8513,,2009,8,30,19,27, 48.8,82, 5.2,,, 5.2,,,,,MYANMAR (BURMA),,MYANMAR (BURMA);  INDIA:  SIBSAGAR,  25.280,   95.101,60,,,,,,,,1,,,,,,,,,,,,1,,,,
8386,Tsu,2009,9,2,7,55,  1.0,46, 7.0, 7.0, 7.0, 6.8,,,,,INDONESIA,,INDONESIA:  JAVA,-  7.782,  107.297,60,      81,2,,,      1297,4,,3,,,54000,4,      81,2,,,1297,4,,3,,,54000,4
8534,,2009,9,18,23,6, 57.7,79, 5.7, 5.7,, 6.0,,,,,INDONESIA,,INDONESIA:  BALI:  DENPASAR,-  9.138,  115.593,60,,,,,         7,1,,1,,,,2,,,,,7,1,,1,,,,2
8392,,2009,9,21,8,53,  5.9,14, 6.1, 6.1, 6.1, 6.1,,,,,BHUTAN,,BHUTAN:  TASHIGANG,  27.332,   91.437,60,      11,1,,,,,,3,,3,,3,      11,1,,,,3,,3,,3,,
8409,Tsu,2009,9,30,10,16,  9.2,81, 7.5, 7.5,, 7.1,,,,,INDONESIA,,INDONESIA:  SUMATRA:  PADANG,-   .720,   99.867,60,    1117,4,,,      1214,4,    2200.000,4,,3,181665,4,    1117,4,,,1214,4,    2200.000,4,,3,181665,4
8552,,2009,10,1,1,52, 27.3,10, 6.6, 6.6, 6.7, 5.9,,,,,INDONESIA,,INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI,-  2.515,  101.501,60,       3,1,,,,,      10.000,3,,3,,3,       3,1,,,,,      10.000,3,,3,,
8772,,2009,10,29,17,0, 38.6,26, 5.3,,, 5.3,,,,,BHUTAN,,"BHUTAN:  MONGAR, PEMAGATSEL, TASHIGANG",  27.262,   91.417,60,,,,,,,,2,1,1,1,1,,,,,,,,2,1,1,116,3
8451,,2009,11,8,19,41, 43.3,18, 6.6, 6.6, 6.5, 6.3,,,,,INDONESIA,,INDONESIA:  SUMABAWA:  BIMA,-  8.207,  118.631,60,       2,1,,,       200,3,       2.430,2,,,,,       2,1,,,200,3,       2.430,2,,,,2
8794,,2009,12,12,11,51, 25.7,10, 5.1,,, 5.1,,,,,INDIA,,INDIA:  MAHARASHTRA:  SATARA,  17.109,   73.767,60,,,,,,,,1,,,,,,,,,,,,1,,,,2
8813,,2009,12,31,9,57, 29.7,10, 5.2,, 5.2, 5.5,,,,,BHUTAN,,BHUTAN:  DAMETSI,  27.319,   91.510,60,,,,,         2,1,,2,,,,,,,,,2,1,,2,,,700,3
8992,,2010,1,10,0,25,  4.2,65, 5.1,,, 5.1,,,,,INDONESIA,,INDONESIA:  JAVA:  GARUT,-  7.907,  107.879,60,       1,1,,,         2,1,,,,,,,       1,1,,,2,1,,,,,,
9372,,2010,3,30,16,54, 46.7,34, 6.7, 6.7, 6.3, 6.5,,,,,INDIA,,INDIA: ANDAMAN ISLANDS:  DIGLIPUR,  13.667,   92.831,60,,,,,        10,1,,2,,,,,,,,,10,1,,2,,,,3
8973,Tsu,2010,4,6,22,15,  1.5,31, 7.8, 7.8, 7.9, 7.0,,,,,INDONESIA,,INDONESIA:  SUMATRA,   2.383,   97.048,60,,,,,,,,,,,,,,,,,,,,,,,,
9033,,2010,4,20,0,17,  8.0,0, 5.2,,, 5.2,5,,,,AUSTRALIA,,AUSTRALIA:  KALGOORLIE,- 30.794,  121.406,60,,,,,         3,1,,1,,,,,,,,,3,1,,1,,,,1
9512,,2010,5,1,22,36, 29.3,36, 4.5,,, 4.5,,,,,INDIA,,INDIA:  CHAMOLI,  30.099,   80.026,60,,,,,,,,1,,,,,,,,,,,,1,,,,
9092,,2010,5,9,5,59, 41.6,38, 7.2, 7.2, 7.3, 6.6,,,,,INDONESIA,,INDONESIA:  N. SUMATRA: SIMEULUE ISLAND,   3.748,   96.018,60,,,,,,,,1,,,,,,,,,,,,1,,,,
9252,Tsu,2010,6,12,19,26, 50.4,35, 7.5, 7.5, 7.5, 7.0,,,,6,INDIA,,INDIA:  LITTLE NICOBAR ISLAND,   7.881,   91.936,60,,,,,,,,,,,,,,,,,,,,,,,,
9765,,2010,6,18,23,9, 31.0,20, 5.9, 5.9, 5.9, 6.1,,,,,INDIA,,INDIA:  ANDAMAN ISLANDS:  DIGLIPUR,  13.197,   93.087,60,,,,,,,,1,,,,,,,,,,,,1,,,,2
9766,,2010,6,22,23,14, 10.8,16, 5.2,,, 5.2,5.2,,,,INDIA,,INDIA:  TAULI,  29.872,   80.428,60,,,,,,,,1,,1,,1,,,,,,,,1,,1,,
9775,,2010,9,10,17,24, 16.6,10, 4.8,,, 4.8,,,,5,BANGLADESH,,BANGLADESH:  NARAYANGANJ,  23.407,   90.648,60,,,,,,,,1,,,,,,,,,,,,1,,,,
9777,,2010,10,10,21,44, 25.9,33, 5.2,,, 5.2,,,,,PAKISTAN,,"PAKISTAN:  KHANPUR, HARIPUR",  33.869,   72.887,60,       1,1,,,        15,1,,2,,,100,1,       1,1,,,15,1,,1,,,100,2
9592,Tsu,2010,10,25,14,42, 22.0,20, 7.8, 7.8, 7.3, 6.5,,,,,INDONESIA,,INDONESIA:  SUMATRA,-  3.487,  100.082,60,,,,,,,,,,,,,     431,3,,,,,      39.000,4,700,3,,
9825,,2010,11,12,9,37, 19.9,27, 4.7,,, 4.7,,,,,PAKISTAN,,PAKISTAN:  QUETTA,  30.178,   67.117,60,,,,,        12,1,,1,,,,2,,,,,12,1,,1,,,,2
9763,,2011,1,18,20,23, 23.4,68, 7.2, 7.2,, 6.7,,,,,PAKISTAN,,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",  28.777,   63.951,60,       3,1,,,,2,,2,200,3,200,3,       3,1,,,,2,,2,,,200,3
9831,,2011,2,4,13,53, 46.2,85, 6.3, 6.3,, 6.4,,,,,MYANMAR (BURMA),,MYANMAR (BURMA):  MONYWA,  24.618,   94.680,60,       1,1,,,,,,1,,2,,,       1,1,,,,,,1,,2,,
9801,,2011,3,24,13,55, 12.0,8, 6.8, 6.8, 7.1, 6.3,7.2,,,,MYANMAR (BURMA),,MYANMAR:  TACHILEK,  20.687,   99.822,60,      75,2,,,       123,3,       3.600,2,,,10104,4,      75,2,,,123,3,       3.600,2,,,10104,4
9848,,2011,4,4,11,31, 43.0,26, 5.4, 5.4, 5.1, 5.6,,,,,NEPAL,,"NEPAL-INDIA:  UTTARAKHAND, UTTAR PRADESH",  29.698,   80.754,60,,,,,,,,1,,,,,,,,,,,,1,,,,
9840,,2011,9,5,17,55, 11.2,91, 6.7, 6.7,, 6.6,,,,,INDONESIA,,INDONESIA:  SUMATRA,   2.965,   97.893,60,      10,1,,,,,,1,,,,2,      10,1,,,,,,1,,,,2
9874,,2011,9,7,17,58, 18.7,10, 4.3,,, 4.3,,,,,INDIA,,INDIA:  DELHI,  28.724,   77.189,60,,,,,         1,1,,,,,,,,,,,1,1,,1,,,,
9842,,2011,9,18,12,40, 51.8,50, 6.9, 6.9, 6.7, 6.6,,,,,INDIA,,INDIA:  SIKKIM,  27.730,   88.155,60,     111,3,,,       177,3,      22.300,3,6000,4,6000,4,     111,3,,,177,3,      22.300,3,,4,6000,4
9875,,2011,10,20,17,18, 34.1,10, 5.0,,, 5.0,,,,,INDIA,,INDIA:  GUJARAT,  21.211,   70.533,60,,,,,        34,1,,3,,,3000,4,,,,,34,1,,3,,,3000,4
9887,,2011,10,29,0,43, 55.1,10, 3.5,,,,3.5,,,,INDIA,,INDIA:  SIKKIM,  27.449,   88.684,60,       2,1,,,,,,,,,,,       2,1,,,,,,,,,,
9890,,2011,11,21,3,15, 42.2,114, 5.8, 5.8,, 5.9,,,,,INDIA,,INDIA:  ASSAM,  24.955,   95.236,60,,,,,,,,1,,,,,,,,,,,,1,,,,
